codLocaleProgetto,ocStatoProgetto,ocCodCategoriaSpesa,longitude,latitude,codTemaSintetico
4TOIN.VI.TRAJeunes,In corso,85,8.93405,44.4108478,5
4TOINTENSE,In corso,85,11.2578,43.77268,5
4TOINTERMED,In corso,85,8.9340262,44.4071658,5
4TOINTERMEDIA,In corso,85,10.5040558,43.8267108,5
4TOISIDE,In corso,85,9.1149594,39.2175754,5
4TOISOS,In corso,85,9.504827,40.9230932,5
4TOITACA,In corso,93,10.4085349,43.7052882,6
4TOITINERAROMANICA+,In corso,85,10.5753833,43.8493313,5
4TOItinERA,In corso,93,9.1122733,39.2168176,6
4TOL.I.S.T.Port,In corso,85,9.1152567,39.2171648,5
4TOLOSE+,In corso,85,8.9265876,44.4145417,5
4TOMA.R.E.,In corso,85,8.9370883,44.4061513,5
4TOMAREGOT,In corso,87,8.9370883,44.4061513,5
4TOMARITTIMOMOB,In corso,85,8.9265876,44.4145417,5
4TOMATRAC-ACP,In corso,85,12.5119997,41.9019828,5
4TOME.T.A.V.I.E.,In corso,85,11.5422119,42.8807132,5
4TOMED-FORESTE,In corso,85,11.270137,43.7698819,5
4TOMED-Star,In corso,85,9.1027003,39.2250415,5
4TOMEDCOOPFIRE,In corso,85,8.9340262,44.4071658,5
4TOMEDNEWJOB,In corso,85,10.3087254,43.5518287,5
4TOMEDPSS,In corso,85,9.1027003,39.2250415,5
4TOMOBIMART,In corso,85,11.2565501,43.7734385,5
4TOMONACUMEN,In corso,85,10.3068043,43.5538927,5
4TOMe.Co.,In corso,85,8.9225832,44.4141264,5
4TOMedMobility,Non avviato,85,11.2508154,43.7752075,5
4TONEPTUNE,In corso,85,9.214114,44.3020674,5
4TOO.P.E.R.A.,In corso,85,8.9360806,44.4043935,5
4TOOMD,In corso,85,8.9370883,44.4061513,5
4TOP.Ri.S.Ma.MED,In corso,85,8.9360806,44.4043935,5
4TOPORT-5R,In corso,85,9.1410964,39.2357149,5
4TOPROMETEA,In corso,93,11.1122079,42.7552256,6
4TOPROMO-GNL,In corso,85,8.946256,44.4056499,5
4TOPROTERINA-3Ãvolution,In corso,87,8.450513,44.3003447,5
4TOQUALIPORTI,In corso,85,9.1031046,39.2207162,5
4TORACINE,In corso,85,11.270137,43.7698819,5
4TOREPORT,In corso,85,8.9602032,44.403582,5
4TORETRALAGS,In corso,85,8.3278375,40.5464686,5
4TORUMBLE,In corso,85,8.9360806,44.4043935,5
4TOS.MAR.T.I.C.,In corso,93,10.3080022,43.5540049,6
4TOSA.VO.I.R.S,Non avviato,85,8.581556,39.9023701,5
4TOSE.D.RI.PORT,In corso,87,9.1066393,39.2190108,5
4TOSEDITERRA,In corso,87,9.0015392,44.3946781,5
4TOSICOMARplus,In corso,85,11.2565501,43.7734385,5
4TOSIGNAL,In corso,85,9.1033903,39.2242152,5
4TOSINAPSI,In corso,85,8.9265876,44.4145417,5
4TOSMARTDESTINATION,In corso,85,11.2565501,43.7734385,5
4TOSPlasH!,In corso,85,8.925526,44.4153701,5
4TOSTEP,Non avviato,85,8.5598267,40.7248834,5
4TOSUCCESS,In corso,85,8.5411931,40.7315599,5
4TOT.R.I.G-Eau,In corso,87,10.5889575,43.0090596,5
4TOTDIRETE-GNL,In corso,85,8.925526,44.4153701,5
4TOTERRAGIR3,In corso,85,9.3314833,40.3236496,5
4TOTOUR.I.S.M.O.,Non avviato,85,10.5106917,43.8763879,5
4TOTRENO,In corso,85,8.9340262,44.4071658,5
4TOTRIPLO,In corso,85,10.5015458,43.841211,5
AGCOE1028,In corso,13,15.5490265,38.1984004,4
AGCOE1031,In corso,13,15.5563955,38.1938701,4
AGCOE1068,In corso,13,11.3426162,44.494887,4
AGCOE1083,In corso,90,12.5599298,41.8596762,5
AGCOE1155,In corso,90,12.5734718,41.8561471,5
AGCOE1182,In corso,90,12.2392607,45.5356742,5
AGCOE1183,Non avviato,90,12.2494149,45.4804641,5
AGCOE1184,In corso,90,7.686864,45.0703393,5
AGCOE1197,In corso,13,14.26812,40.8517983,4
AGCOE151,In corso,90,11.339896,44.509582,5
AGCOE165,In corso,13,7.6813906,45.0727947,4
AGCOE166,In corso,13,7.6813906,45.0727947,4
AGCOE180,In corso,13,15.6764461,38.1880689,4
AGCOE183,In corso,90,9.189982,45.4642035,5
AGCOE185,In corso,13,13.3744909,38.1165322,4
AGCOE189,In corso,13,15.6472914,38.1113006,4
AGCOE191,In corso,90,9.189982,45.4642035,5
AGCOE193,In corso,13,15.6474083,38.0948999,4
AGCOE195,In corso,13,15.6472914,38.1113006,4
AGCOE204,In corso,13,11.3022527,44.4935635,4
AGCOE205,In corso,13,9.1216613,39.2238411,4
AGCOE218,In corso,90,9.1216613,39.2238411,5
AGCOE219,In corso,90,9.1216613,39.2238411,5
AGCOE220,In corso,90,9.1216613,39.2238411,5
AGCOE221,In corso,90,9.1216613,39.2238411,5
